Gas Station,Address,Link,Бензин A100,Бензин A95,Бензин A95+,Бензин A98,Дизел,Дизел премиум,Електричество,Метан,Пропан Бутан,Navigation links
 Еко Петрол 3,ул. Гюешево №80,https://bg.fuelo.net/gasstation/id/2064?lang=bg,2.96 лв/л.(kw/h),2.51 лв/л.(kw/h),None,None,2.87 лв/л.(kw/h),None,None,None,None,"https://www.google.com/maps/dir/?api=1&destination=42.692429,23.295425&travelmode=driving"
 Еко Петрол 1,бул. Цариградско шосе №164 (база на Хидрострой),https://bg.fuelo.net/gasstation/id/59982?lang=bg,None,2.45 лв/л.(kw/h),None,None,2.81 лв/л.(kw/h),None,None,None,None,"https://www.google.com/maps/dir/?api=1&destination=42.632900,23.417801&travelmode=driving"
 Еко Петрол 2,ул. Кукуш №1 (базата на ЩРАБАГ или бившия Инжстрой),https://bg.fuelo.net/gasstation/id/43630?lang=bg,None,2.45 лв/л.(kw/h),None,None,2.81 лв/л.(kw/h),None,None,None,None,"https://www.google.com/maps/dir/?api=1&destination=42.716278,23.294516&travelmode=driving"
 Еко Петрол 6,бул. Тодор Александров №117,https://bg.fuelo.net/gasstation/id/1407?lang=bg,2.96 лв/л.(kw/h),2.51 лв/л.(kw/h),None,None,2.87 лв/л.(kw/h),None,None,None,None,"https://www.google.com/maps/dir/?api=1&destination=42.700569,23.305151&travelmode=driving"
 Eldrive ДЗИ,ул. Константин Преславски,https://bg.fuelo.net/gasstation/id/64816?lang=bg,None,None,None,None,None,None,0.90 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.724869,23.326609&travelmode=driving"
 Eldrive София Bricolage,ул. Околовръстен път,https://bg.fuelo.net/gasstation/id/64817?lang=bg,None,None,None,None,None,None,0.90 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.733788,23.249130&travelmode=driving"
 Eldrive Shell Люлин,бул. Панчо Владигеров,https://bg.fuelo.net/gasstation/id/64819?lang=bg,None,None,None,None,None,None,0.90 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.719234,23.253736&travelmode=driving"
 Eldrive София Metro 2,бул. Европа №182 ,https://bg.fuelo.net/gasstation/id/64820?lang=bg,None,None,None,None,None,None,0.90 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.745541,23.229858&travelmode=driving"
 Eldrive София KFC,бул. Владимир Вазов №81,https://bg.fuelo.net/gasstation/id/64821?lang=bg,None,None,None,None,None,None,0.90 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.709694,23.394361&travelmode=driving"
 Eldrive Sofia airport center,бул. Христофор Колумб №38,https://bg.fuelo.net/gasstation/id/64822?lang=bg,None,None,None,None,None,None,0.90 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.682365,23.403307&travelmode=driving"
 Eldrive Хотел Ибис,ул. Мими Балканска №132,https://bg.fuelo.net/gasstation/id/64823?lang=bg,None,None,None,None,None,None,0.90 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.686760,23.397139&travelmode=driving"
 Eldrive Eldrive Офис,бул. Христофор Колумб №41,https://bg.fuelo.net/gasstation/id/64824?lang=bg,None,None,None,None,None,None,0.90 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.679485,23.399227&travelmode=driving"
 Eldrive Търговски Център Европа,бул. Искърско шосе №7,https://bg.fuelo.net/gasstation/id/64825?lang=bg,None,None,None,None,None,None,0.90 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.672306,23.395370&travelmode=driving"
 Eldrive Фантастико Дружба,бул. проф. Цветан Лазаров №140,https://bg.fuelo.net/gasstation/id/64826?lang=bg,None,None,None,None,None,None,0.90 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.650097,23.407475&travelmode=driving"
 Eldrive OMV Druzhba,Prof. Tsvetan Lazarov Blvd 63,https://bg.fuelo.net/gasstation/id/83259?lang=bg,None,None,None,None,None,None,0.90 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.661770,23.391966&travelmode=driving"
 Eldrive The Mall Sofia,"бул. Цариградско шосе №115 (Паркинг ниво -1, колони B08 и B09)",https://bg.fuelo.net/gasstation/id/64827?lang=bg,None,None,None,None,None,None,0.90 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.660629,23.381884&travelmode=driving"
 Eldrive Shell Poduene,"Boulevard ""Botevgradsko Shose""",https://bg.fuelo.net/gasstation/id/83260?lang=bg,None,None,None,None,None,None,0.90 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.696564,23.355684&travelmode=driving"
 Eldrive Новотел,бул. Цариградско шосе №115,https://bg.fuelo.net/gasstation/id/64828?lang=bg,None,None,None,None,None,None,0.90 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.658749,23.383204&travelmode=driving"
 Eldrive Goldline,бул. Цариградско шосе,https://bg.fuelo.net/gasstation/id/64829?lang=bg,None,None,None,None,None,None,0.90 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.659340,23.380207&travelmode=driving"
